user_id,recomendations
224,"[874972, 987122, 1102879, 1029743, 1082185]"
225,"[874972, 9420312, 829291, 9487603, 849297]"
226,"[874972, 1029743, 1082185, 1106523, 1127831]"
227,"[874972, 1104604, 908531, 898601, 890695]"
228,"[874972, 1101725, 1029743, 1082185, 1106523]"
229,"[874972, 1106523, 951590, 1082185, 1127831]"
230,"[874972, 856060, 845193, 995242, 1114597]"
231,"[874972, 1029743, 1082185, 1127831, 951590]"
232,"[1137346, 6534035, 870547, 1106523, 999270]"
233,"[833940, 995242, 1082212, 5591154, 1093113]"
234,"[874972, 1029743, 1082185, 1127831, 951590]"
235,"[1110111, 1133018, 911470, 862732, 908531]"
236,"[874972, 857554, 829852, 1076056, 1029743]"
237,"[874972, 1029743, 1082185, 1127831, 951590]"
238,"[874972, 1029743, 1082185, 1127831, 951590]"
239,"[874972, 856772, 1072693, 1133018, 976864]"
240,"[12731432, 5569230, 1106523, 888543, 923746]"
241,"[874972, 1029743, 1082185, 1106523, 1127831]"
242,"[874972, 965766, 895295, 1039156, 862732]"
243,"[1075007, 1053690, 1110142, 1126899, 1137688]"
244,"[874972, 849843, 1133018, 1082185, 834117]"
245,"[874972, 1029743, 1082185, 1106523, 1127831]"
246,"[874972, 1051468, 826385, 1070820, 922127]"
247,"[874972, 1044188, 1098844, 1133018, 1023958]"
248,"[874972, 1029743, 1082185, 1106523, 1127831]"
249,"[874972, 1029743, 15926886, 1029743, 1082185]"
250,"[874972, 840361, 965766, 995242, 844165]"
251,"[874972, 936914, 960791, 1075368, 1070820]"
252,"[874972, 1029743, 1082185, 1106523, 1127831]"
253,"[874972, 1072523, 995896, 922561, 1127758]"
254,"[874972, 982493, 1029743, 1082185, 1106523]"
255,"[874972, 1082185, 1106523, 1127831, 951590]"
256,"[874972, 929730, 919535, 1075368, 862349]"
257,"[874972, 883404, 993638, 1029743, 1082185]"
258,"[874972, 6979518, 1000050, 1048257, 995242]"
259,"[874972, 1082185, 1011578, 1039156, 940947]"
260,"[874972, 909714, 1045586, 834117, 1082185]"
261,"[874972, 1029743, 1082185, 1127831, 951590]"
262,"[874972, 922561, 1043751, 1040807, 859075]"
263,"[1002787, 901460, 856345, 994223, 855138]"
264,"[874972, 844054, 1104695, 1018740, 961554]"
265,"[874972, 1029743, 1082185, 1106523, 1127831]"
266,"[874972, 1070820, 994223, 5569471, 919423]"
267,"[874972, 1029743, 1082185, 1106523, 1127831]"
268,"[874972, 837107, 1029743, 1082185, 1106523]"
269,"[874972, 895930, 1031831, 962229, 1139782]"
270,"[1103808, 833724, 870547, 1053690, 1101010]"
271,"[1029688, 8090521, 862349, 856252, 908531]"
272,"[874972, 1029743, 1082185, 1127831, 951590]"
273,"[874972, 873964, 13115501, 6979579, 859010]"
274,"[874972, 841228, 1084177, 1029743, 1082185]"
275,"[874972, 6463451, 936508, 857554, 961269]"
276,"[12810391, 995896, 12731544, 1042942, 1052912]"
277,"[874972, 1106523, 1127831, 1082185, 951590]"
278,"[874972, 962229, 8090537, 995242, 856060]"
279,"[874972, 1106523, 951590, 1082185, 1127831]"
280,"[874972, 1106523, 1029743, 1082185, 1106523]"
281,"[874972, 862349, 1055504, 5585510, 934399]"
282,"[874972, 5572828, 985999, 957736, 6034857]"
283,"[878715, 6034577, 944137, 856252, 995242]"
284,"[874972, 996156, 12301405, 1101173, 1029743]"
285,"[874972, 839094, 10341697, 981760, 1082185]"
286,"[10198378, 1119051, 1029743, 1082185, 1106523]"
287,"[874972, 995242, 1110042, 969866, 843898]"
288,"[874972, 1126899, 1018050, 908531, 932179]"
289,"[874972, 962568, 989824, 1022254, 981760]"
290,"[874972, 867188, 962229, 873964, 952317]"
291,"[874972, 6704207, 6534480, 1044078, 949965]"
292,"[874972, 981760, 883404, 1106523, 1053690]"
293,"[874972, 1082185, 1106523, 1127831, 951590]"
294,"[874972, 921836, 958700, 9245108, 953180]"
295,"[874972, 1029743, 1082185, 1127831, 951590]"
296,"[874972, 1029743, 1082185, 1127831, 951590]"
297,"[874972, 8090521, 1085333, 908531, 1110572]"
298,"[874972, 1029743, 1082185, 1127831, 951590]"
299,"[874972, 1029743, 1082185, 1127831, 951590]"
300,"[874972, 1029743, 1082185, 1106523, 1127831]"
301,"[874972, 924423, 9837076, 9527323, 12428017]"
302,"[874972, 1062128, 1005274, 1101174, 887342]"
303,"[874972, 9526673, 950206, 9337581, 1102416]"
304,"[874972, 1038462, 972931, 873627, 1107553]"
305,"[874972, 913210, 9858847, 1011876, 1029743]"
306,"[874972, 825541, 5591154, 1101010, 862349]"
307,"[874972, 898212, 970202, 1019637, 1039156]"
308,"[874972, 950206, 1064380, 1110572, 963835]"
309,"[874972, 1029743, 1127831, 1082185, 951590]"
310,"[874972, 1029743, 1082185, 1127831, 951590]"
311,"[874972, 882826, 823862, 1110572, 1029743]"
312,"[874972, 6551782, 965766, 936830, 901776]"
313,"[874972, 1029743, 1082185, 1127831, 951590]"
314,"[833940, 1133018, 878996, 995965, 1082185]"
315,"[874972, 1029743, 1082185, 1127831, 951590]"
316,"[836445, 5585510, 1106301, 1122358, 5592931]"
317,"[874972, 1101010, 1107553, 8090521, 12171656]"
318,"[874972, 977481, 1106301, 5568729, 918335]"
319,"[874972, 1127831, 995242, 1082185, 951590]"
320,"[874972, 1082185, 1106523, 1127831, 951590]"
321,"[874972, 856772, 990897, 944836, 964520]"
322,"[874972, 1044078, 979707, 901062, 12984227]"
323,"[826666, 1122358, 921836, 1126895, 923746]"
324,"[9521679, 993466, 1022254, 845715, 920002]"
325,"[12810464, 901460, 896085, 5569471, 1011300]"
326,"[874972, 879504, 1101010, 8090521, 995242]"
327,"[874972, 1133018, 884774, 883963, 15926844]"
328,"[874972, 1051516, 991546, 1070820, 885290]"
329,"[948670, 888532, 919180, 1029743, 854852]"
330,"[874972, 1053690, 5592931, 1106523, 923746]"
331,"[874972, 862349, 1082185, 1029743, 1082185]"
332,"[874972, 940947, 1089021, 1065593, 10457044]"
333,"[874972, 899624, 1029743, 1082185, 1106523]"
334,"[874972, 6034577, 1056509, 1029743, 860975]"
335,"[874972, 1029743, 1127831, 1082185, 951590]"
336,"[874972, 1029743, 951590, 1082185, 1127831]"
337,"[874972, 1082185, 1106523, 1127831, 951590]"
338,"[874972, 1039156, 1053690, 1028816, 1082185]"
339,"[874972, 1044188, 840361, 1106523, 1051211]"
340,"[874972, 1082185, 1106523, 1127831, 951590]"
341,"[874972, 1029743, 1082185, 1127831, 951590]"
342,"[1000753, 870515, 854852, 847982, 1029743]"
343,"[874972, 1040807, 865705, 909714, 847982]"
344,"[874972, 1029743, 981760, 1082185, 1127831]"
345,"[874972, 1071759, 999639, 6602697, 1003188]"
346,"[825343, 865528, 911470, 995242, 1101010]"
347,"[874972, 1024306, 930118, 1029743, 1082185]"
348,"[947858, 1015296, 1031083, 5585510, 1106523]"
349,"[9832469, 995242, 900802, 963365, 889649]"
350,"[874972, 1044078, 1106523, 1029743, 1082185]"
351,"[1000753, 13115914, 6602697, 894439, 13842214]"
352,"[874972, 1029743, 1082185, 1127831, 951590]"
353,"[874972, 948086, 1029743, 1082185, 1106523]"
354,"[849202, 1058997, 1056509, 1097001, 1008814]"
355,"[874972, 1029743, 1082185, 1127831, 951590]"
356,"[874972, 1049735, 1084968, 1029743, 1082185]"
357,"[833940, 1133018, 906763, 908531, 1000050]"
358,"[981677, 1048462, 1055504, 5569230, 1015296]"
359,"[874972, 1029743, 1082185, 1127831, 951590]"
360,"[874972, 1110572, 1031831, 1073150, 1029743]"
361,"[874972, 916381, 944466, 962229, 1101010]"
362,"[874972, 983795, 922127, 923746, 12731714]"
363,"[874972, 1029743, 1082185, 1127831, 951590]"
364,"[874972, 962229, 908531, 1092026, 860975]"
365,"[874972, 924427, 832678, 986912, 1107553]"
366,"[874972, 1065593, 858302, 957741, 1128240]"
367,"[9524291, 993466, 907392, 823775, 862349]"
368,"[874972, 1029743, 1082185, 1127831, 951590]"
369,"[874972, 986912, 8090509, 1106523, 923746]"
370,"[874972, 1029743, 1082185, 1127831, 951590]"
371,"[874972, 1070820, 1037332, 6533936, 944836]"
372,"[874972, 1106523, 1127831, 1082185, 951590]"
373,"[874972, 986912, 999779, 9926758, 1094955]"
374,"[1108094, 7409670, 1009046, 1029743, 923746]"
375,"[874972, 885023, 1058021, 1029743, 1082185]"
376,"[874972, 1081189, 1095068, 849843, 1061220]"
377,"[874972, 959985, 994223, 1138443, 1029743]"
378,"[874972, 910673, 1082185, 9859060, 15926886]"
379,"[874972, 1029743, 1082185, 1127831, 951590]"
380,"[1013928, 924427, 906017, 1098284, 8090521]"
381,"[874972, 1106523, 923746, 6034857, 819927]"
382,"[874972, 926905, 1106523, 7168026, 1043787]"
383,"[874972, 1058997, 854754, 829722, 890695]"
384,"[825343, 10344971, 843756, 1075368, 13416351]"
385,"[874972, 1010190, 854852, 1082185, 914577]"
386,"[874972, 1053690, 1039126, 1108131, 995242]"
387,"[878715, 916990, 913210, 1126899, 8090536]"
388,"[874972, 995242, 13416351, 1076608, 1031083]"
389,"[887474, 947798, 5592931, 921836, 856252]"
390,"[874972, 927860, 999714, 1029743, 1082185]"
391,"[874972, 1106523, 951590, 1082185, 1127831]"
392,"[874972, 825176, 972665, 1028473, 12263788]"
393,"[1013928, 896085, 1070272, 1108168, 1029743]"
394,"[9521679, 13842090, 921836, 986912, 885290]"
395,"[874972, 1098066, 1053690, 5568378, 926233]"
396,"[874972, 1082185, 993441, 834103, 1135460]"
397,"[874972, 978343, 897953, 1058997, 892573]"
398,"[874972, 5569230, 916381, 995242, 908531]"
399,"[874972, 1029743, 1127831, 1082185, 951590]"
400,"[874972, 6979545, 845265, 883404, 826249]"
401,"[874972, 5574409, 895166, 986912, 827683]"
402,"[970747, 1051468, 821083, 13842214, 824005]"
403,"[874972, 1029743, 1127831, 1082185, 951590]"
404,"[874972, 5569471, 862682, 1092588, 986187]"
405,"[874972, 12781777, 906883, 962229, 13842088]"
406,"[874972, 862349, 1116821, 1082185, 934399]"
407,"[9835223, 995242, 908531, 883404, 826249]"
408,"[874972, 1106523, 951590, 1082185, 1127831]"
409,"[874972, 862349, 909750, 8090536, 1101010]"
410,"[874972, 923746, 911812, 962229, 995242]"
411,"[874972, 1029743, 1082185, 1106523, 1127831]"
412,"[874972, 6463717, 1082185, 986912, 1133018]"
413,"[874972, 5585510, 838186, 1106523, 5569230]"
414,"[874972, 1093413, 1102927, 1082212, 971922]"
415,"[864893, 1056509, 1133018, 999104, 960791]"
416,"[874972, 1106523, 951590, 1082185, 1127831]"
417,"[874972, 1081189, 7025106, 829722, 844165]"
418,"[874972, 1020962, 1119405, 971922, 12263788]"
419,"[874972, 1106523, 951590, 1082185, 1127831]"
420,"[874972, 961747, 1029743, 1029743, 1082185]"
421,"[874972, 6533936, 9338009, 1139782, 1058997]"
422,"[874972, 1127831, 995242, 1082185, 951590]"
423,"[874972, 1029743, 1127831, 1082185, 951590]"
424,"[874972, 1029743, 1082185, 1127831, 951590]"
425,"[874972, 1048727, 842707, 1070820, 849843]"
426,"[874972, 1110409, 881047, 1057260, 862349]"
427,"[874972, 840361, 1110255, 995242, 1082185]"
428,"[874972, 951590, 995242, 1082185, 1127831]"
429,"[874972, 993638, 5585510, 1056509, 995242]"
430,"[874972, 1075368, 995242, 962229, 983584]"
431,"[874972, 1029743, 1082185, 1127831, 951590]"
432,"[874972, 907128, 825994, 858373, 975649]"
433,"[874972, 1013531, 963971, 1106523, 1082185]"
434,"[874972, 10121965, 1081189, 10284972, 1039781]"
435,"[874972, 5569845, 899624, 15926775, 1135681]"
436,"[874972, 981760, 5569230, 1029743, 1082185]"
437,"[948670, 1039156, 1029743, 1082185, 1106523]"
438,"[874972, 1019247, 6534480, 995242, 9881593]"
439,"[874972, 1029743, 1082185, 1127831, 951590]"
440,"[874972, 1029743, 1082185, 1127831, 951590]"
441,"[874972, 1009046, 1038985, 12810393, 1124971]"
442,"[874972, 910439, 909894, 1085604, 1126899]"
443,"[874972, 923746, 866211, 1057260, 862349]"
444,"[874972, 1029743, 1082185, 1127831, 951590]"
445,"[874972, 1029743, 1082185, 1127831, 951590]"
446,"[874972, 1029743, 1082185, 1106523, 1127831]"
447,"[874972, 986912, 1022097, 1057260, 995242]"
448,"[874972, 1029743, 1127831, 1082185, 951590]"
449,"[970866, 1053690, 913210, 1029743, 971922]"
450,"[12810391, 1101010, 923746, 13842214, 1133018]"
451,"[874972, 963868, 999971, 1004906, 916122]"
452,"[874972, 1106523, 1127831, 1082185, 951590]"
453,"[874972, 1029743, 951590, 1082185, 1127831]"
454,"[9835223, 1016800, 844165, 5585510, 995242]"
455,"[874972, 1082185, 1106523, 1127831, 951590]"
456,"[874972, 1029743, 1082185, 1127831, 951590]"
457,"[874972, 844165, 1082185, 1029743, 911311]"
458,"[874972, 961554, 5587938, 1058997, 1023958]"
459,"[863762, 1075313, 885290, 972312, 1029743]"
460,"[874972, 981760, 826385, 1029743, 1082185]"
461,"[874972, 909714, 985999, 995242, 1050851]"
462,"[874972, 1043751, 854042, 995242, 13841744]"
463,"[948670, 933067, 1046689, 835243, 1082185]"
464,"[874972, 9677236, 1072693, 856252, 856772]"
465,"[874972, 1106523, 1127831, 1082185, 951590]"
466,"[874972, 832001, 10341697, 859191, 1029743]"
467,"[874972, 916122, 1135886, 834117, 7167945]"
468,"[874972, 9803810, 849297, 1098284, 1122358]"
469,"[874972, 885356, 979707, 862349, 901062]"
470,"[874972, 1030093, 9420312, 835098, 840601]"
471,"[874972, 995242, 852360, 8090521, 965766]"
472,"[874972, 1082185, 1106523, 1127831, 951590]"
473,"[874972, 1106523, 951590, 1082185, 1127831]"
474,"[874972, 1030093, 1065593, 1029743, 1082185]"
475,"[874972, 1106523, 916122, 1082185, 1127831]"
476,"[874972, 1029743, 1082185, 1127831, 951590]"
477,"[948670, 13115579, 13945244, 1029743, 869573]"
478,"[874972, 8090440, 1029743, 1082185, 1106523]"
479,"[874972, 1029743, 1082185, 1106523, 1127831]"
480,"[874972, 1009449, 1029743, 1082185, 1106523]"
481,"[874972, 1029743, 5569230, 1082185, 1127831]"
482,"[836445, 1101010, 8090537, 1133018, 870547]"
483,"[874972, 1077588, 879755, 1029743, 1082185]"
484,"[833940, 995242, 819330, 1044759, 888532]"
485,"[12810391, 868764, 908531, 6533608, 923746]"
486,"[874972, 1029743, 1082185, 1127831, 951590]"
487,"[874972, 906763, 7169034, 1029743, 1082185]"
488,"[874972, 1106523, 1127831, 1082185, 951590]"
489,"[874972, 845715, 1077430, 986912, 1058997]"
490,"[874972, 1029743, 1127831, 1082185, 951590]"
491,"[874972, 994223, 1051468, 9858847, 1100972]"
492,"[874972, 1029743, 1127831, 1082185, 951590]"
493,"[874972, 12577242, 8090513, 819927, 1044805]"
494,"[874972, 1029743, 1082185, 1127831, 951590]"
495,"[12810391, 995242, 940731, 995965, 923746]"
496,"[874972, 1029743, 1082185, 1127831, 951590]"
497,"[874972, 911088, 7410290, 942778, 837304]"
498,"[874972, 1029743, 1082185, 1127831, 951590]"
499,"[874972, 1029743, 1082185, 1127831, 951590]"
500,"[874972, 1029743, 1082185, 1127831, 951590]"
501,"[874972, 1029743, 1082185, 1127831, 951590]"
502,"[874972, 910473, 908531, 1029743, 832678]"
503,"[874972, 1003188, 9881666, 8090536, 1073150]"
504,"[874972, 1029743, 1082185, 1127831, 951590]"
505,"[874972, 1127716, 1029743, 1082185, 1106523]"
506,"[849202, 1026118, 1104414, 1013641, 855138]"
